,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SepalArea
0,1,5.1,3.5,1.4,0.2,Iris-setosa,17.849999999999998
1,2,4.9,3.0,1.4,0.2,Iris-setosa,14.700000000000001
4,5,5.0,3.6,1.4,0.2,Iris-setosa,18.0
5,6,5.4,3.9,1.7,0.4,Iris-setosa,21.060000000000002
7,8,5.0,3.4,1.5,0.2,Iris-setosa,17.0
9,10,4.9,3.1,1.5,0.1,Iris-setosa,15.190000000000001
10,11,5.4,3.7,1.5,0.2,Iris-setosa,19.980000000000004
14,15,5.8,4.0,1.2,0.2,Iris-setosa,23.2
15,16,5.7,4.4,1.5,0.4,Iris-setosa,25.080000000000002
16,17,5.4,3.9,1.3,0.4,Iris-setosa,21.060000000000002
17,18,5.1,3.5,1.4,0.3,Iris-setosa,17.849999999999998
18,19,5.7,3.8,1.7,0.3,Iris-setosa,21.66
19,20,5.1,3.8,1.5,0.3,Iris-setosa,19.38
20,21,5.4,3.4,1.7,0.2,Iris-setosa,18.36
21,22,5.1,3.7,1.5,0.4,Iris-setosa,18.87
23,24,5.1,3.3,1.7,0.5,Iris-setosa,16.83
25,26,5.0,3.0,1.6,0.2,Iris-setosa,15.0
26,27,5.0,3.4,1.6,0.4,Iris-setosa,17.0
27,28,5.2,3.5,1.5,0.2,Iris-setosa,18.2
28,29,5.2,3.4,1.4,0.2,Iris-setosa,17.68
31,32,5.4,3.4,1.5,0.4,Iris-setosa,18.36
32,33,5.2,4.1,1.5,0.1,Iris-setosa,21.32
33,34,5.5,4.2,1.4,0.2,Iris-setosa,23.1
34,35,4.9,3.1,1.5,0.1,Iris-setosa,15.190000000000001
35,36,5.0,3.2,1.2,0.2,Iris-setosa,16.0
36,37,5.5,3.5,1.3,0.2,Iris-setosa,19.25
37,38,4.9,3.1,1.5,0.1,Iris-setosa,15.190000000000001
39,40,5.1,3.4,1.5,0.2,Iris-setosa,17.34
40,41,5.0,3.5,1.3,0.3,Iris-setosa,17.5
43,44,5.0,3.5,1.6,0.6,Iris-setosa,17.5
44,45,5.1,3.8,1.9,0.4,Iris-setosa,19.38
46,47,5.1,3.8,1.6,0.2,Iris-setosa,19.38
48,49,5.3,3.7,1.5,0.2,Iris-setosa,19.61
